row_id,StudentID,Group,variable,value,outlier_iqr
2,Stu2,Experimental,pre_grammar,4,TRUE
17,Stu17,Experimental,pre_grammar,3,TRUE
19,Stu19,Experimental,pre_grammar,18,TRUE
36,stu36,Control,pre_grammar,3,TRUE
63,stu63,Control,grammar_reduction,-7,TRUE
14,Stu14,Experimental,vocabulary_reduction,4,TRUE
15,Stu15,Experimental,vocabulary_reduction,4,TRUE
28,Stu28,Experimental,vocabulary_reduction,-1,TRUE
30,Stu30,Experimental,vocabulary_reduction,-1,TRUE
34,Stu34,Experimental,vocabulary_reduction,4,TRUE
37,stu37,Control,vocabulary_reduction,-2,TRUE
43,stu43,Control,vocabulary_reduction,-1,TRUE
53,stu53,Control,vocabulary_reduction,-1,TRUE
58,stu58,Control,vocabulary_reduction,-1,TRUE
61,stu61,Control,vocabulary_reduction,-1,TRUE
62,stu62,Control,vocabulary_reduction,-2,TRUE
63,stu63,Control,vocabulary_reduction,-2,TRUE
66,stu66,Control,vocabulary_reduction,-2,TRUE
62,stu62,Control,mechanics_reduction,-4,TRUE
63,stu63,Control,mechanics_reduction,-9,TRUE
