Group,Category,Time,n,mean,sd,min,max
Control,Grammar,Pre-test,34,10.470588235294118,3.0074180420848378,3,15
Control,Grammar,Post-test,34,9.088235294117647,3.62121398578402,2,15
Control,Vocabulary,Pre-test,34,4.147058823529412,1.6354473568540806,1,7
Control,Vocabulary,Post-test,34,3.2941176470588234,1.8509524454822497,0,8
Control,Mechanics,Pre-test,34,18.229411764705883,4.029627354134713,8.8,24
Control,Mechanics,Post-test,34,15,4.7161874689651855,7,25
Experimental,Grammar,Pre-test,34,10.117647058823529,3.002672606320686,3,18
Experimental,Grammar,Post-test,34,4.411764705882353,2.8616338526435148,1,9
Experimental,Vocabulary,Pre-test,34,2.8823529411764706,1.094468346991746,1,5
Experimental,Vocabulary,Post-test,34,1.0294117647058822,1.5856419045781955,0,6
Experimental,Mechanics,Pre-test,34,14.529411764705882,3.6284673625471013,9,23
Experimental,Mechanics,Post-test,34,8.205882352941176,3.319176712129954,2,14
