StudentID,Group,Spelling_pre,Punctuation_pre,Capitalization_pre,Tense_pre,Agreement_pre,Article_pronoun_Preposition_pre,Vocabulary_pre,HolisticScore_pre,Spelling_post,Punctuation_post,Capitalization_post,Tense_post,Agreement_post,Article_pronoun_Preposition_post,Vocabulary_post,HolisticScore_post,sex,age,pre_mechanics,post_mechanics,pre_grammar,post_grammar,pre_vocabulary,post_vocabulary,grammar_reduction,vocabulary_reduction,mechanics_reduction,spelling_reduction,punctuation_reduction,capitalization_reduction,tense_reduction,agreement_reduction,article_pronoun_preposition_reduction
Stu1,Experimental,5,3,2,2,3,4,2,6,6,4,2,3,3,2,1,5,F,17,10,12,9,8,2,1,1,1,-2,-1,-1,0,-1,0,2
Stu2,Experimental,6,3,1,1,1,2,3,10,2,1,0,1,0,0,0,12,F,17,10,3,4,1,3,0,3,3,7,4,2,1,0,1,2
Stu3,Experimental,7,3,1,1,1,3,1,10,3,0,0,1,0,0,0,15,F,17,11,3,5,1,1,0,4,1,8,4,3,1,0,1,3
Stu4,Experimental,8,5,3,2,3,4,3,10,5,2,1,0,2,1,0,14,F,17,16,8,9,3,3,0,6,3,8,3,3,2,2,1,3
Stu5,Experimental,6,4,3,4,3,4,2,2,3,2,1,1,2,1,0,3,M,17,13,6,11,4,2,0,7,2,7,3,2,2,3,1,3
Stu6,Experimental,8,4,3,3,4,5,2,3,6,4,3,3,2,3,1,3,F,16,15,13,12,8,2,1,4,1,2,2,0,0,0,2,2
Stu7,Experimental,7,5,4,2,3,4,2,5,3,2,2,0,0,1,0,13,F,17,16,7,9,1,2,0,8,2,9,4,3,2,2,3,3
Stu8,Experimental,7,5,4,3,4,5,2,4,3,2,2,0,1,2,1,8,F,17,16,7,12,3,2,1,9,1,9,4,3,2,3,3,3
Stu9,Experimental,4,3,3,2,3,5,2,6,2,1,1,1,0,1,1,10,F,17,10,4,10,2,2,1,8,1,6,2,2,2,1,3,4
Stu10,Experimental,8,4,3,4,2,5,2,1,5,3,3,3,1,2,0,6,F,17,15,11,11,6,2,0,5,2,4,3,1,0,1,1,3
Stu11,Experimental,7,5,3,5,3,5,3,1,3,2,2,2,0,1,0,10,F,17,15,7,13,3,3,0,10,3,8,4,3,1,3,3,4
Stu12,Experimental,6,4,4,3,4,5,2,1,4,4,2,2,1,3,1,7,F,17,14,10,12,6,2,1,6,1,4,2,0,2,1,3,2
Stu13,Experimental,5,4,4,3,2,4,3,1,3,2,2,3,1,2,0,10,F,17,13,7,9,6,3,0,3,3,6,2,2,2,0,1,2
Stu14,Experimental,11,7,5,6,4,6,4,6,6,3,2,3,2,2,0,7,F,17,23,11,16,7,4,0,9,4,12,5,4,3,3,2,4
Stu15,Experimental,8,7,6,5,4,3,4,10,3,3,2,2,1,1,0,13,F,17,21,8,12,4,4,0,8,4,13,5,4,4,3,3,2
Stu16,Experimental,8,5,4,2,2,5,3,10,4,2,2,0,0,1,0,13,F,17,17,8,9,1,3,0,8,3,9,4,3,2,2,2,4
Stu17,Experimental,5,2,2,1,1,1,1,14,2,0,0,0,1,0,0,17,F,17,9,2,3,1,1,0,2,1,7,3,2,2,1,0,1
Stu18,Experimental,5,3,2,3,3,5,2,10,2,1,1,0,1,0,0,15,F,17,10,4,11,1,2,0,10,2,6,3,2,1,3,2,5
Stu19,Experimental,8,5,5,6,5,7,5,2,6,3,3,4,2,3,5,5,M,17,18,12,18,9,5,5,9,0,6,2,2,2,2,3,4
