Group,Subcategory,Time,n,mean,sd,min,max
Control,Spelling,Pre-test,34,8.052941176470588,2.4417126743975683,0.8,12
Control,Spelling,Post-test,34,6.705882352941177,2.2092013058981688,3,11
Control,Punctuation,Pre-test,34,5.794117647058823,1.533058178830518,3,9
Control,Punctuation,Post-test,34,4.735294117647059,1.6387138994366204,2,8
Control,Capitalization,Pre-test,34,4.382352941176471,1.3487301745638252,2,7
Control,Capitalization,Post-test,34,3.5588235294117645,1.560714220158626,1,6
Control,Tense,Pre-test,34,3.0294117647058822,1.2428046024445667,1,5
Control,Tense,Post-test,34,2.823529411764706,1.4661966513127958,0,6
Control,Agreement,Pre-test,34,3.0294117647058822,1.2181778274338015,1,5
Control,Agreement,Post-test,34,2.5,1.4822178304721938,0,5
Control,Article/Pronoun/Preposition,Pre-test,34,4.411764705882353,1.2089977581958695,1,6
Control,Article/Pronoun/Preposition,Post-test,34,3.764705882352941,1.6888013236829962,0,6
Control,Vocabulary,Pre-test,34,4.147058823529412,1.6354473568540806,1,7
Control,Vocabulary,Post-test,34,3.2941176470588234,1.8509524454822497,0,8
Experimental,Spelling,Pre-test,34,6.794117647058823,1.7016820869756164,3,11
Experimental,Spelling,Post-test,34,3.8529411764705883,1.5400187511880157,1,6
Experimental,Punctuation,Pre-test,34,4.352941176470588,1.276414318153182,2,7
Experimental,Punctuation,Post-test,34,2.4411764705882355,1.2837250831570441,0,5
Experimental,Capitalization,Pre-test,34,3.3823529411764706,1.1550864032315857,1,6
Experimental,Capitalization,Post-test,34,1.911764705882353,0.9650764472411539,0,4
Experimental,Tense,Pre-test,34,2.9411764705882355,1.3013088159930006,1,6
Experimental,Tense,Post-test,34,1.5,1.285112894463032,0,4
Experimental,Agreement,Pre-test,34,2.8529411764705883,1.0482988511314044,1,5
Experimental,Agreement,Post-test,34,1.1470588235294117,0.9254762227411247,0,3
Experimental,Article/Pronoun/Preposition,Pre-test,34,4.323529411764706,1.147344450018181,1,7
Experimental,Article/Pronoun/Preposition,Post-test,34,1.7647058823529411,1.2323621941377896,0,5
Experimental,Vocabulary,Pre-test,34,2.8823529411764706,1.094468346991746,1,5
Experimental,Vocabulary,Post-test,34,1.0294117647058822,1.5856419045781955,0,6
