Group,Subcategory,n,mean,sd,min,max
Control,Spelling,34,1.3470588235294119,1.8219595335488337,-4,6
Control,Punctuation,34,1.0588235294117647,1.704560308907349,-4,4
Control,Capitalization,34,0.8235294117647058,1.5069654082071615,-2,4
Control,Tense,34,0.20588235294117646,1.1749767699755493,-2,2
Control,Agreement,34,0.5294117647058824,1.353677239129101,-2,3
Control,Article/Pronoun/Preposition,34,0.6470588235294118,1.9982166737425688,-3,5
Control,Vocabulary,34,0.8529411764705882,1.4591893337008919,-2,3
Experimental,Spelling,34,2.9411764705882355,1.3013088159930006,-1,5
Experimental,Punctuation,34,1.911764705882353,1.1900508534798389,-1,4
Experimental,Capitalization,34,1.4705882352941178,1.079710795106504,-1,4
Experimental,Tense,34,1.4411764705882353,1.1597067672891526,-1,3
Experimental,Agreement,34,1.7058823529411764,0.9383871322552194,0,3
Experimental,Article/Pronoun/Preposition,34,2.5588235294117645,1.1332756617391004,1,5
Experimental,Vocabulary,34,1.8529411764705883,1.2584828032722208,-1,4
